ID,Titulos,HUBsci,Categoria,Autores,Descripcion,Año
63,Mental state attribution and the temporoparietal junction: An fMRI study,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S0028393210001776,NeuroCiencia,"ZaitchikD,WalkerC,MillerS,LaVioletteP,FeczkoE,DickersonB.","Mental state attribution and the temporoparietal junction: An fMRI study comparing belief, emotion, and perception. Neuropsychologia, 48(9), 2528–2536.",2010
64,0). Focal stimulation of the temporoparietal junction improves rationality in,https://sci-hub.se/https://link.springer.com/content/pdf/10.1038/s41598-020-76956-9.pdf,NeuroCiencia,"LiF,BallS,ZhangX,Smith","0). Focal stimulation of the temporoparietal junction improves rationality in prosocial decision-making. Scientific Reports, 10(1). https://doi.org/10.1038/s41598-020-76956-9 ",202
65,Inter-subject correlation of temporoparietal junction activity is associated with conflict,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S016801021830244X,NeuroCiencia,"TeiS,KauppiJ.-P,FujinoJ,JankowskiK.F,KawadaR,MuraiT,Takahashi",Inter-subject correlation of temporoparietal junction activity is associated with conflict patterns during flexible decision-making. Neuroscience Research.,2018
66,Effects of Transcranial Magnetic Stimulation on Body Perception: No Evidence,https://sci-hub.se/https://link.springer.com/article/10.1007/s10548-016-0496-0,NeuroCiencia,"DaltrozzoJ,KotchoubeyB,GuelerF,KarimA.","Effects of Transcranial Magnetic Stimulation on Body Perception: No Evidence for Specificity of the Right Temporo-Parietal Junction. Brain Topography, 29(5), 704–715.",2016
67,Right Temporoparietal Junction Modulates In-Group Bias in Facial Emotional Mimicry:,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnbeh.2020.00143/full,NeuroCiencia,"PengS,KuangB,Hu","Right Temporoparietal Junction Modulates In-Group Bias in Facial Emotional Mimicry: A tDCS Study. Frontiers in Behavioral Neuroscience, 14.",2020
68,The role of ventromedial prefrontal cortex and temporo-parietal junction in,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811919305440,NeuroCiencia,"LoGerfoE,GallucciA,MoreseR,VergallitoA,OttoneS,PonzanoF,RomeroLauroL.",The role of ventromedial prefrontal cortex and temporo-parietal junction in third-party punishment behavior. NeuroImage.,2019
69,No Change in Social Decision-Making Following Transcranial Direct Current Stimulation,https://sci-hub.se/https://www.frontiersin.org/articles/10.3389/fnins.2018.00258/full,NeuroCiencia,"Blair-WestL.F,HoyK.E,HallP.J,FitzgeraldP.B,FitzgibbonB.","No Change in Social Decision-Making Following Transcranial Direct Current Stimulation of the Right Temporoparietal Junction. Frontiers in Neuroscience, 12.",2018
70,Interactive live fNIRS reveals engagement of the temporoparietal junction in,https://sci-hub.se/https://www.sciencedirect.com/science/article/pii/S1053811920303876,NeuroCiencia,"HakunoY,HataM,NaoiN,HoshinoE,Minagawa","Interactive live fNIRS reveals engagement of the temporoparietal junction in response to social contingency in infants. NeuroImage, 116901.",2020
71,"Stria terminalis, amygdala, and temporoparietal junction networks facilitate efficient emotion",https://sci-hub.se/https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.24779,NeuroCiencia,"DzaficI,OestreichL,MartinA.K,MowryB,Burianová","Stria terminalis, amygdala, and temporoparietal junction networks facilitate efficient emotion processing under expectations. Human Brain Mapping.",2019
72,The role of temporo-parietal junction (TPJ) in global Gestalt perception.,https://sci-hub.se/https://link.springer.com/article/10.1007/s00429-011-0369-y,NeuroCiencia,"HuberleE,Karnath","The role of temporo-parietal junction (TPJ) in global Gestalt perception. Brain Structure and Function, 217(3), 735–746.",2011
