ID_AU,Autores
1200,Kostine
1201,Kostis
1202,KotaniH
1203,KotchenM.J
1204,KotchoubeyB
1205,KothawalaD
1206,KotseosK
1207,KotzebueJ.R
1208,KougiasI
1209,KoulR.K
1210,KovelmanI
1211,KrabbendamL
1212,KrallS.C
1213,Krasnov
1214,Kraus
1215,KrausP
1216,KrebsM.-O
1217,KreisbeckC
1218,KrendlA.
1219,KrenkeR
1220,KretM.E
1221,KronbichlerM
1222,Krugman
1223,KrysztopikR
1224,KuangB
1225,KubizňákD
1226,KubotaM
1227,KucyiA
1228,KudrinA
1229,KujalaJ
1230,Kumar
1231,KumarA
1232,KumarS
1233,KurodaY
1234,KurrerM.O
1235,KusumiI
1236,L
1237,LEDINGHAMI.
1238,LEEH
1239,LI
1240,LOW
1241,LaBergeJ.M
1242,LaFaverK
1243,LaMonacaS
1244,LaVioletteP
1245,LacquanitiF
1246,Ladurner
1247,LagopoulosJ
1248,LahanS
1249,LahmeB
1250,LahteenvuoJ.E
1251,LahteenvuoM.T
1252,LaiM.-C
1253,LairdA.R
1254,LaivaA.L
1255,Lal
1256,LalA.P
1257,LalS
1258,LalasD.
1259,LamE
1260,LambertiT
1261,LamichhaneB
1262,Lamm
1263,LandisT
1264,LaneM.
1265,LanesS.
1266,LangfordR.
1267,LangnerR
1268,LanirA
1269,Lanius
1270,LantzS.D
1271,LarrabeeM.
1272,LarroquetM
1273,Larsen
1274,LarsenF
1275,LaschF
1276,LastraR
1277,LauriL.
1278,LautzT.
1279,LawrenceA.E
1280,Le
1281,LeHôR
1282,LeRoyF
1283,LeaderA
1284,LeberA.B
1285,LeblondC
1286,Lee
1287,LeeA.Y
1288,LeeB.Y
1289,LeeD.-H
1290,LeeG
1291,LeeJ
1292,LeeJ.
1293,LeeJ.Y
1294,LeeK.S
1295,LeeS
1296,LeeS.-C
1297,LeeS.-H
1298,LeeY.C.G
1299,LegrasA
1300,LehtiläA
1301,LeiberL.-M
1302,Leigh-SmithS
1303,LeiserowitzA.
1304,LeloupL
1305,Lemaitre
1306,Lembo
1307,LemeeJ.-M
1308,LemoalleA
1309,LemosJ.P.S
1310,LenoirM
1311,LevinE.J
1312,LewA.A
1313,LewanderR
1314,Lewandowski
1315,Lewis
1316,LewisA.
1317,LewisN.D.H
1318,LewisP.A
1319,LewisS.J
1320,LeónP
1321,Li
1322,LiC
1323,LiC.-W
1324,LiD
1325,LiF
1326,LiJ
1327,LiQ
1328,LiS.-L
1329,LiT
1330,LiX
1331,LiX.
1332,LiY
1333,LiY.W
1334,Liang
1335,LiangW.-K
1336,LiaoC
1337,LichtensteinD.
1338,LiebermanM.
1339,LiemburgE.J
1340,LifschytzG
1341,LightR.
1342,LimK.-E
1343,LinB.C
1344,LinC.-K
1345,LinC.-P
1346,LinC.-Y
1347,LinH.-Y
1348,LinV.S
1349,LinW.-L
1350,LinaresN
1351,LindsleyK
1352,LinehanW.
1353,LineweaverC.
1354,Liong
1355,LipsettJ.
1356,Lisanby
1357,LisanbyS.H
1358,Lisbão
1359,LisickiM
1360,LitimD.
1361,Liu
1362,LiuC.-Z
1363,LiuD
1364,LiuH
1365,LiuH.-L
1366,LiuN
1367,LiuW
1368,LiuZ
1369,LivineE.R
1370,Lizin
1371,Llorens-MartínM
1372,LoGerfoE
1373,LohA.H.P
1374,LohrenzT
1375,LombardoM.V
1376,LongJ.R
1377,Longo
1378,LongoM.R
1379,Lopez-LopezC
1380,LopezC
1381,LoranD.B
1382,LospinosoJ.A
1383,LossiusH.M
1384,Loucky
1385,Loued-KhenissiL
1386,Lovio
1387,LoweD.
1388,LoweD.A
1389,LowitzschJ
1390,Loy
1391,LuK
1392,LuchinsK
1393,LudemannR
1394,LundP.
1395,Luo
1396,LuoC
1397,LuoS
1398,LutcherE
1399,LuthraS
1400,LutolfM.P
1401,LvJ
1402,LynchS.
1403,LévayP
1404,Lüst
1405,LüstD
1406,MARANGONIG
1407,MARTINOA
1408,MURRAYS
1409,MaN
1410,MaS
1411,MacCarty
1412,MacDougaldO.A
1413,MadonnaM
1414,MadsenP
1415,MaeH
1416,MagdeleinatP
1417,Magis
1418,Magistri
1419,MaiX
1420,Majhi
1421,MajhiB.R
1422,Majumdar
1423,MajumdarP
1424,Majumder
1425,MakhijaZ
1426,MalaiappanS
1427,MaldacenaJ
1428,MaldacenaJ.
